track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
05pzS0FSe1uhhl13byfXY4,CoComelon,Halloween Party,The Magic Song,40,115285,FALSE,0.816,0.498,7,-10.604,1,0.0269,0.592,0,0.0714,0.845,139.989,4,children
2w1JSr3I1BXnTRyGskbJ45,Matador,Ramaha,Juniper,48,414193,FALSE,0.765,0.702,7,-7.879,0,0.0486,0.121,0.906,0.666,0.239,123.993,4,deep-house
5CI4uc5U66KH9g4nklN2JO,Oxia,Domino Remixes,Domino - Rework Edit,50,222416,FALSE,0.725,0.855,1,-9.101,0,0.0435,0.0017,0.921,0.076,0.123,126.034,4,minimal-techno
1Eb90nmqTrxylKFhcUzW8P,Bryan Adams,Waking Up The Neighbours,(Everything I Do) I Do It For You,76,393640,FALSE,0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03E-05,0.0631,0.299,131.229,4,songwriter
0WlOpcLjjYU1JIRn512tGv,Crickets - Tinnitus Sleep Solution;Relaxing Music Therapy;4D Nature Recordings,Night Cricket for Babies,Loopable Owls,33,76700,FALSE,0.406,0.0907,1,-39.193,1,0.0411,0.1,0.961,0.167,0.0382,90.477,4,sleep
3o0J0f1b93w0vZ5oMwnKIr,Sugar Kane,Por Nossa Paz,Medo,34,208280,FALSE,0.401,0.953,11,-3.354,0,0.065,5.99E-05,0.000791,0.319,0.644,122.863,4,hardcore
52IFB7DWC4B4qwv1LFvvgx,Agoraphobic Nosebleed,Agorapocalypse,Timelord Two (Paradoxical Reaction),13,183373,FALSE,0.352,0.859,1,-5.102,1,0.163,1.69E-05,0.538,0.262,0.386,177.914,3,grindcore
1jJ893m6WM9aztKtzYmNJY,blink-182,OO's Music Grandi Successi,All The Small Things,2,171066,FALSE,0.442,0.9,0,-5.032,1,0.0529,0.0109,0,0.395,0.609,148.62,4,rock
6QyMFfo6GYK9YwspxYVjCG,Baby Tate,Ghetto Superstar - New Rap Classics,Dancing Queen,0,193076,TRUE,0.908,0.559,11,-6.329,1,0.333,0.00656,0,0.234,0.616,143.993,4,alternative
6FqGxJBWE3KOcpY7HodwiA,WATEVA;Next to Neon,Until We Die,Until We Die,49,177248,FALSE,0.903,0.489,6,-7.383,0,0.0488,0.0756,0.00141,0.104,0.78,124.042,4,electronic
1Ic9pKxGSJGM0LKeqf6lGe,Nirvana,In Utero - 20th Anniversary Remaster,All Apologies,72,233173,FALSE,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,4,grunge
0Hfah746oDkvCS7ySP3k1c,8percent,dream girl,dream girl,66,87408,FALSE,0.795,0.385,7,-13.526,0,0.329,0.851,5.98E-05,0.234,0.55,109.996,4,sad
1gbOBdipuStCIJapaL5iZ4,Leonardo;Eduardo Costa,Leonardo e Eduardo Costa no Cabaré (Ao Vivo),De Igual Pra Igual - Ao Vivo,44,226013,FALSE,0.569,0.676,5,-5.988,1,0.0316,0.441,0,0.98,0.568,100.033,4,sertanejo
2p5HyDplWmkd8FhzMRlEh1,Serge Reggiani,50 plus belles chansons (15ème anniversaire),Le petit garçon - Réenregistrement Polydor,36,193120,FALSE,0.554,0.372,1,-11.255,0,0.0407,0.232,1.01E-06,0.104,0.165,116.738,3,french
1bVVKpdOuQ77Ti3kcTdfTy,Passion;Kristian Stanfill,One Thing Remains,One Thing Remains,49,239613,FALSE,0.428,0.73,11,-4.435,1,0.0286,0.00497,0,0.244,0.161,147.976,4,world-music
3Eo7rOfvXRzGq68b9PVfZE,Wisin & Yandel,Esto No Se Le Dedica A Cualquiera,Estoy Enamorado,3,271720,FALSE,0.78,0.725,6,-6.032,1,0.0503,0.288,0,0.0851,0.431,100.92,4,reggae
64aHsHQnTTFLGCeIsSGJCI,Toxic Holocaust,Chemistry of Consciousness,Mkultra,23,127826,FALSE,0.214,0.982,9,-4.762,0,0.155,1.53E-06,0.449,0.353,0.224,165.618,4,death-metal
6yw8KDkUJ468SsbKPlF1vA,Doctor Flake,Divagations,Boardwalk,41,316818,FALSE,0.387,0.749,7,-4.902,0,0.0304,0.00508,0.751,0.108,0.268,171.967,4,trip-hop
4vJrtcgQoULwkPyFkXNYCx,Chuck Berry,pov: you bake cookies,Run Rudolph Run,0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59E-05,0.26,0.949,151.925,4,rock-n-roll
65MxMwYzxNrih40iRViSOK,The Wiggles,Apples & Bananas: A Wiggly Collection of Nursery Rhymes,Apples and Bananas,48,100382,FALSE,0.73,0.699,4,-4.759,1,0.0374,0.583,3.06E-05,0.337,0.94,132.152,4,children
2Of6ELgB41N4REAnQvbpwD,Tone Depth;Johannes Brecht;Fetsum;HOSH,Free (HOSH Edit),Free - HOSH Edit,47,418657,FALSE,0.681,0.632,0,-8.702,1,0.0312,0.0106,0.577,0.106,0.383,121.991,3,techno
5x9lyB5lP2lXR0zb7L6RaB,Woesum;Bladee;Thaiboy Digital;Yung Lean,Blue Summer,Violet Gold,44,142180,TRUE,0.669,0.689,5,-6.269,1,0.0625,0.344,4.09E-05,0.0976,0.669,179.053,4,club
